ggl_name,bng_name,reach
Stiri din Ungheni~ Calarasi~ Nisporeni (Comunicat de Presă) (Blog),,23641
ZdG,,17730
Sputnik Moldova-România,,17730
East Journal,,94564
Adevărul,,176082
The Economist,,84751
anticoruptie.md,,17730
Sputnik Молдова,,17730
Urbea Mea (Comunicat de Presă) (Blog),,17730
Vijesti,,76538
AD.nl,,2211097
Nederlands Dagblad,,125295
NRC,,1139049
Reformatorisch Dagblad,,362562
Telegraaf.nl,,2954288
Trouw,,803679
Volkskrant,,1969920
Het Financieele Dagblad,,343340
Barneveldse Krant,,81576
De Gelderlander,,81576
De Stentor,,81576
Dagblad van het Noorden,,1087686
Friesch Dagblad,,108768
Leeuwarder Courant,,81576
BD.nl,,852020
Eindhovens Dagblad,,483416
De Limburger,,725124
De Gooi- en Eemlander,,81576
Haarlems Dagblad (persbericht),,81576
Leidsch Dagblad (persbericht),,128818
Noordhollands Dagblad (persbericht),,936618
Parool.nl,,389168
Dnevnik/si (sporočilo za javnost) (Spletni dnevnik),,382715
Мурманский вестник,,33487
Adresseavisen,,259268
Aftenposten,,631092
AMTSTIDENDE,,16852
Vesterålen Online,,7116
Avisa Nordland,,73608
Bergens Tidende,,255766
Bergensavisen,,91545
Bladet Vesterålen (pressemelding),,4387
Bondebladet,,189173
Asker og Bærums Budstikke,,84211
Dag og Tid,,32626
Dagbladet.no,,610473
Dagens Næringsliv,,240180
Dagsavisen,,84447
Dalane Tidende,,25086
Drammens Tidene,,86792
Enebakk Avis,,4387
Fanaposten,,13955
iFinnmark,,4387
Firda,,35677
Firdaposten,,4387
Fjordabladet,,8332
Sunnmørsposten,,15538
Fjuken,,12245
Fredrikstad Blad,,68193
Fremover,,4387
Fædrelandsvennen,,134104
Gudbrandsdølen Dagningen,,4387
Halden Arbeiderblad,,25429
Hallingdølen,,30441
Hamar Arbeiderblad,,66775
Hamar Dagblad,,56621
ht.no,,40240
Haugesunds Avis,,99678
Indre Akershus Blad,,18980
Jarlsberg,,11866
Jærbladet,,39528
Klassekampen,,4387
Laagendalsposten,,31291
Innherred,,4387
Lofotposten,,21257
Lofot Tidende,,4387
Morgenbladet,,87561
Moss Avis,,44638
Nettavisen,,4387
Nordlys,,79610
Norge IDAG,,4387
Ny Tid,,4387
Nye Troms,,4387
Oppdalingen,,6597
Oppland Arbeiderblad,,4387
Porsgrunns Dagblad,,4387
Rana Blad,,31574
Ringerikes Blad,,4387
RA - Rjukan Arbeiderblad (pressemelding),,4387
Romerikes Blad,,112209
Romsdals Budstikke,,37644
Saltenposten,,14057
Sandefjords Blad,,44045
Sarpsborg Arbeiderblad,,40514
Aftenbladet.no,,195196
Strandbuen,,12975
Sunnhordland,,4387
Svalbardposten,,7855
Telemarksavisa,,65562
Tidens Krav,,4387
Folkebladet,,4387
Trønder-Avisa,,4387
Tysvær Bydgeblad,,6496
Tønsberg Blad,,90457
Varingen,,11452
Østlandets Blad,,45723
Østlands-Posten,,42567
Helgelands Blad,,4387
Fiskeribladet,,4387
GazetaPrawna.pl,,922945
Przegląd Sportowy,,869751
PulsBiznesu,,782776
PolskieRadio24.pl,,84800
Gazeta Krakowska,,84800
Echo Dnia Świętokrzyskie,,381855
Kurier Poranny,,84800
Dziennik Zachodni,,5670778
Berliner Woche,,113067
Krakow Post,,869751
wirtualnemedia.pl,,6844132
Głos Wielkopolski,,84800
Gazeta Pomorska,,84800
Express Bydgoski,,84800
Dziennik Łódzki,,84800
Express Ilustrowany,,84800
Gazeta Wrocławska,,84800
Dziennik Wschodni (komunikaty prasowe),,84800
Kurier Lubelski,,84800
Gazeta Lubuska,,84800
Nowa Trybuna Opolska,,84800
Głos Pomorza,,84800
Dzień Dobry TVN (komunikaty prasowe),,84800
SuperBiz.SE.pl,,84800
Głos Szczeciński,,84800
Głos Koszaliński,,84800
A Bola,,13626
Correio da Manhã,,538021
Destak Jornal,,321760
Diário de Notícias - Lisboa,,87504
Jornal de Negócios - Portugal,,49131
Jornal de Notícias,,301215
O Jogo,,133099
PÚBLICO,,130612
Olive Press,,152392
Açoriano Oriental,,18168
As Beiras Online,,13626
Região de Leiria,,13626
Popular,,1976660
Istoe,,13626
The Portugal News,,92110
Jornal Económico,,13626
Notícias ao Minuto (liberação de imprensa),,13626
Observador,,13626
PT Jornal,,13626
Correio Alentejo,,13626
O MINHO,,13626
Diário da Região,,13626
Diário de Aveiro,,13626
DNoticias,,13626
Correio do Ribatejo (liberação de imprensa),,13626
Diário do Minho,,13626
Jornal da Bairrada,,13626
Jornal da Madeira,,13626
Jornal de Leiria (liberação de imprensa),,13626
Jornal do Fundão,,13626
Allgemeine Deutsche Zeitung für Rumänien,,30814
cotidianul.md,,30814
EVENIMENTUL ZILEI,,586941
Gândul,,305209
Gazeta Sporturilor,,380308
Libertatea,,1129668
Romania Libera,,30814
Ziarul Financiar,,30814
Transindex,,30814
Új Szó Online,,8393265
ProSport,,252384
Erdélyi Napló (sajtóközlemény),,30814
DCNews (Comunicat de Presă),,30814
Ziarul BURSA,,30814
Ora de Sibiu (Comunicat de Presă),,30814
Hajdú Online,,30814
Nyugati Jelen,,30814
Deşteptarea,,30814
Jurnalul de Călăraşi (Satiră) (Comunicat de Presă) (Blog),,30814
Siebenbürgische Zeitung,,30814
Obiectiv Vocea Brailei,,30814
Total Media - arenamedia.ro (Comunicat de Presă),,30814
ATV,,30814
Tribunapoliticaweb SM (Comunicati Stampa),,4677
Güneydoğu Ekspres,,2570442
Крагујевачке,,28917
Глас Подриња,,28917
Génération NT,,28917
Nacional,,28917
SME.sk,,45518
NOVÝ ČAS,,224897
PRAVDA.sk,,162638
The Slovak Spectator,,29018
.týždeň,,29018
Denník N,,29018
Bratislavské Noviny,,29018
Žilinský večerník,,29018
Buongiorno Slovacchia,,29018
Slovo,,29018
TREND.sk,,29018
Novinky.cz,,29018
Primorske Novice,,415948
RTV Slovenija,,311961
ABC News,,1569100
Diari de Girona,,82377
Diari de Tarragona,,82377
Diario de Cádiz,,505668
Alto Aragón,,109837
Diario de Navarra,,767115
El Correo,,1569100
El Diario Montanes,,581857
Diario Vasco,,1185542
El Norte de Castilla,,82377
EL PAÍS,,1569100
El Periódico de Aragón,,261516
El Periódico,,1569100
El Punt Avui (Comunicat de premsa),,449808
Faro de Vigo,,736518
La Nueva España,,1743445
Las Provincias,,362131
La Razón,,1569100
La Vanguardia,,4392578
La Voz de Almería,,1569100
La Voz de Galicia,,1569100
SEGRE.com,,124569
Sur Digital (Andalucía),,636374
El Bernabéu,,1569100
Cinco Días,,697378
Ecodiario,,562679
http://estadiodeportivo.com/,,1569100
La Gaceta de Salamanca,,1569100
MARCA.com,,1569100
Mundo Deportivo,,1569100
Diario de Almería,,1569100
El Correo Gallego,,82377
El Confidencial,,155769
Diario de Avisos,,82377
Diario de Burgos,,82377
Diario de Ibiza,,82377
Diario de Jerez,,82377
Diario de León (blog),,82377
Diario de Mallorca,,82377
Diario de Sevilla,,82377
El Día de Córdoba,,82377
El Periódico de Extremadura (blog),,82377
El Periódico Mediterráneo,,82377
Huelva Información,,82377
La Opinión A Coruña,,82377
La Opinión de Murcia,,82377
La Opinión de Zamora,,82377
Málaga Hoy,,82377
Noticias de Gipuzkoa,,82377
Regio 7,,82377
Euro Weekly News,,82377
Dagens Nyheter,,1027921
Göteborgs-Posten,,688431
Svenska Dagbladet,,674619
Sydsvenskan,,362753
Aftonbladet,,563030
Expressen,,984667
Computerworld,,369288
Proletären,,11631
Barometern-OT,,149026
Bohusläningen,,101047
Dala-Demokraten,,58520
Eskilstuna-Kuriren,,27261
Västerbottens Folkblad,,8723
helagotland.se,,46525
Hallands Nyheter,,26515
Hallandsposten,,105772
Helsingborgs Dagblad,,8723
jp.se,,119221
Karlstads-Tidningen,,8723
Kristianstadsbladet,,8723
Norra Skåne (pressmeddelande) (blogg),,158477
Norrköpings Tidningar,,143574
NSD,,112678
nwt.se,,8723
Smålandsposten,,128671
TTELA,,8723
Upsala Nya Tidning,,173380
VLT,,137758
Värmlands Folkblad,,64699
Östgöta Correspondenten,,177741
Östra Småland,,8723
Blt,,8723
Fosna Folket,,8723
Skaraborgs Allehanda,,8723
sn.se,,8723
Örnsköldsviks Allehanda,,8723
Klassiker,,8723
BLICK.CH,,483108
Aargauer Zeitung,,173900
bz Basel,,118790
Basler Zeitung,,144667
BZ Berner Zeitung,,266479
Bieler Tagblatt,,42156
Der Bund,,14665
Neue Zürcher Zeitung,,177751
St.Galler Tagblatt,,149195
Limmattaler Zeitung,,12258
suedostschweiz.ch,,182966
WOZ Die Wochenzeitung,,25082
Zürichsee-Zeitung,,45510
24 heures,,80875
Le Nouvelliste,,9194
Le Temps,,53369
Tribune de Genève,,82615
Corriere del Ticino,,55350
laRegione,,47542
France Bleu,,146655
Tages-Anzeiger,,306944
Die Weltwoche,,121502
La Liberté,,9194
Gauchebdo,,9194
Herisau24 (Pressemitteilung),,9194
Solothurner Zeitung,,9194
AGEFI.com,,9194
Arcinfo,,9194
Journal du Jura,,9194
http://www.engadinerpost.ch/ (Pressemitteilung),,9194
Interfax-Ukraine,,148791
Kyiv Post,,198389
Atlantic Council (blog),,11021618
34 телеканал,,148791
Вечерње Новости,,148791
The Independent,,439751
Bristol Live,,452009
WalesOnline,,50342
The Boston Globe,,7708283
Manchester Evening News,,1356027
Eastern Eye,,351
City A.M.,,243192
Hampshire Chronicle,,351
Birmingham Live,,40844
Bournemouth Echo,,46316
Buckinhamshire Free Press,,351
Cambridgeshire Live,,22614
Camden New Journal newspapers website,,351
The Comet,,188688
Cheshire Live,,44754
Coventry Live,,50851
Derbyshire Live,,56755
Kent Online,,125692
Dudley News,,351
East Anglian Daily Times,,84559
HullLive,,59326
Eastern Daily Press,,68671
expressandstar.com,,494353
Halesowen News,,161189
ExaminerLive,,34030
Isle of Wight County Press,,38581
Kent Live,,135602
Lancashire Post,,351
Lancashire Telegraph,,351
Leicestershire Live,,195123
LincolnshireLive,,28250
Liverpool Echo,,98984
Lynn News,,351
Mid Sussex Times,,32250
Midweek Herald,,351
ChronicleLive,,75742
News & Star,,70863
Northampton Chronicle and Echo,,124302
The Northern Echo,,322056
Northumberland Gazette,,351
Norwich Evening News,,54130
Lewiston Sun Journal,,5150
Oxford Mail,,31564
Reading Chronicle,,351
Salisbury Journal,,351
Grimsby Live,,46347
Stoke-on-Trent Live,,220354
The Star,,351
shropshirestar.com,,56501
Daily Echo,,290475
Southport Visiter,,351
Kewanee Star Courier,,351
Stourbridge News,,155378
Sunderland Echo,,268380
Surrey Live,,351
Tavistock Times Gazette,,22600
Teesdale Mercury,,351
Watford Observer,,42005
LancsLive,,351
Bucks Herald,,351
Banbury Cake,,149728
Banbury Guardian,,42079
Echo,,85056
Basingstoke Gazette,,351
Blackpool Gazette,,351
Boston Standard,,351
Stamford Mercury,,47107
Bridlington Free Press,,29790
Bristol Observer,,155378
Cornish & Devon Post,,351
Burnley Express,,351
Buxton Advertiser,,36431
Hertfordshire Mercury,,48025
The Chester Standard,,351
Chew Valley Gazette,,38138
Your Local Guardian,,281807
Daventry Express,,21187
Dewsbury Reporter,,351
Diss Express,,81926
Doncaster Free Press,,51786
Darlington and Stockton Times,,61668
Eastbourne Herald,,351
Fleetwood Weekly News,,351
Gloucestershire Live,,351
Hartlepool Mail,,11817
Hastings Observer,,351
Henley Standard,,32284
Hereford Times,,52150
Keighley News,,15308
Surrey Comet,,6633
Yorkshire Evening Post,,32471
North Wales Live,,89842
Islington Gazette,,351
Newham Recorder,,351
Richmond and Twickenham Times,,7523
London News Online (blog),,367257
East London and West Essex Guardian Series,,3969
Maidenhead Advertiser,,45200
Malvern Gazette,,15670
Harborough Mail,,351
Market Rasen Mail,,11574
Newark Advertiser,,351
Newbury Weekly News Group,,39014
Oldham Chronicle,,351
Romford Recorder,,60591
Romsey Advertiser,,3306
St Helens Reporter,,351
The Scarborough News,,30954
Wicked Local Shrewsbury,,53676
Craven Herald,,32482
Shields Gazette,,42830
Swindon Advertiser,,24939
Wakefield Express,,95868
Warrington Guardian,,351
Wetherby News,,351
Whitby Gazette,,351
The Wiltshire Gazette and Herald,,351
Wiltshire Times,,17456
Worcester News,,351
The Gazette • Western University's Newspaper,,29750
Belfast Media Group,,23891
Ulster Star,,351
Lurgan Mail,,351
Portadown Times,,351
Spectator.co.uk (blog),,351
The Recorder,,3306
Fermanagh Herald,,37203
Impartial Reporter,,26640
Derry Now,,351
Londonderry Sentinel,,13998
The Ulster Herald,,28250
HeraldScotland,,81644
The Scotsman,,16950
Scottish Daily Record,,487359
The Courier,,127308
Press and Journal,,165271
Greenock Telegraph,,25309
Edinburgh News,,79101
Aberdeen Evening Express,,64230
Evening Telegraph,,51071
The Sunday Post,,1977539
South Wales Argus,,36725
Cambrian News,,8475
Tenby Observer,,351
Western Telegraph,,351
Alan in Belfast (blog),,351
The Irish World Newspaper,,56501
ChristianToday,,351
Church Times,,351
The Non-League Football Paper,,351
Racing Post,,351
FG Insight,,351
Lloyd's List (press release),,351
Times Higher Education (THE),,351
Madison.com,,2825
WiscNews,,4237
The Boar,,351
Epigram,,351
The Mancunion,,351
Oxford Student,,42375
Wessex FM,,282505
Sportinglife.com,,351
The Sunday Dispatch,,4237585
Berwick Advertiser,,351
Cambridge Independent,,351
Cotswold Journal,,351
Gravesend Reporter,,351
North Norfolk News,,351
Ripon Gazette,,351
Slough and Windsor Observer,,351
Wirral Globe,,351
Herald Series,,351
Andover Advertiser,,351
Yellow Advertiser,,351
Bicester Advertiser,,351
Bracknell News,,351
GetReading,,351
Bradford Telegraph and Argus,,351
Bridport and Lyme Regis News,,351
Brighouse Echo,,351
Bromsgrove Standard,,351
Bromsgrove Advertiser,,351
Bury Times,,351
Cumberland News Now,,5150
The Westmorland Gazette,,351
Chichester Observer,,351
Chorley Citizen,,351
Chorley Guardian,,351
Crawley Observer,,351
Droitwich Standard,,351
Evesham Journal,,351
Gainsborough Standard,,351
Garstang Courier,,351
Stroud News and Journal,,351
Grantham Journal,,351
Halifax Courier,,351
Essex Live,,351
Harrogate Advertiser,,351
Welwyn Hatfield Times,,351
Hucknall Dispatch,,351
Knutsford Guardian,,351
Lancaster Guardian,,351
Leigh Journal,,351
Leyland Guardian,,351
Brixton Blog (blog),,351
Newtownabbey Times,,351
Northwich Guardian,,351
Worksop Guardian,,351
Prestwich and Whitefield Guide,,351
Retford Trader and Guardian,,351
Rotherham Advertiser,,351
CapeGazette.com,,351
Sleaford Standard,,351
Slough Express,,351
Stowmarket Mercury,,351
Stratford upon Avon Herald,,351
The Isle of Thanet News,,351
Melton Times,,351
Whitchurch Herald,,351
Runcorn and Widnes World,,351
The Wokingham Paper,,351
Abergavenny Chronicle,,351
Brecon & Radnor Express,,351
Caerphilly Observer,,351
Powys County Times,,351
Polish Express,,351
BusinessAMLive (press release) (blog),,351
AsiaNews,,68
Gazeta Express,,141650
Isle of Man Today,,17333
Jersey Evening Post,,70000
Barbados Advocate,,46931
Nation News,,46931
Amandala,,61308
The Daily Breeze,,1724
National Post,,789244
The Globe and Mail,,431980
Calgary Herald,,592122
Calgary Sun,,239676
Edmonton Journal,,512516
Edmonton Sun,,208507
Alberta Daily Herald Tribune,,155928
Lethbridge Herald,,87182
Medicine Hat News,,60383
Red Deer Advocate,,76477
Cranbrook Townsman,,27691
Alaska Highway News,,5150
The Daily Courier,,71514
Kimberley Bulletin,,27691
Alberni Valley News,,19610
Trail Times,,27702
Times Colonist,,322860
Brandon Sun,,5150
Winnipeg Free Press,,589669
Winnipeg Sun,,188298
Acadie Nouvelle,,5150
Jamaica Gleaner,,91491
The Telegram,,134639
TheChronicleHerald.ca,,506690
Cape Breton Post,,123197
Truro Daily News,,32121
Belleville Intelligencer,,5150
Brantford Expositor,,110764
Brockville Recorder and Times,,5150
TheSpec.com,,550447
Daily Miner and News,,5150
The Kingston Whig-Standard,,121009
TheRecord.com,,295092
The London Free Press,,334651
NiagaraFallsReview.ca,,5150
The North Bay Nugget,,63717
Ottawa Citizen,,508385
Ottawa Sun,,251667
Owen Sound Sun Times,,5150
ThePeterboroughExaminer.com,,68407
Sarnia Observer,,67416
Sault Star,,11076
Simcoe Reformer,,5150
StCatharinesStandard.ca,,98585
St. Thomas Times-Journal,,5150
The Beacon Herald,,138455
The Sudbury Star,,82707
The Chronicle Journal,,95257
Timmins Press,,33234
Toronto Sun,,671806
Toronto Star,,1765374
WellandTribune.ca,,5150
Woodstock Sentinel Review,,5150
The Journal Pioneer,,44421
La Voix de l'est - Groupe Capitales Médias,,5150
Le Devoir,,188298
Le Journal de Montréal,,1286702
Montreal Gazette,,644901
Le Journal de Québec,,454398
Le Soleil - Groupe Capitales Médias,,434499
Le Quotidien - Groupe Capitales Médias,,5150
La Tribune - Groupe Capitales Médias,,171784
Sherbrooke Record,,22424
Le Nouvelliste - Groupe Capitales Médias,,238020
Prince Albert Daily Herald,,31479
Saskatoon StarPhoenix,,216034
Whitehorse Star,,5150
The Crag and Canyon,,38601
Drayton Valley Western Review,,23576
Edson Leader,,15639
Fort McMurray Today,,5150
Macleod Gazette Online,,7592
Fort Saskatchewan Record,,5150
Hinton Parklander,,22978
Pincher Creek Echo,,6867
Whitecourt Star,,15257
Abbotsford News,,221528
Aldergrove Star,,5150
Ashcroft Cache Creek Journal,,5150
Barriere Star Journal,,5150
Bowen Island Undercurrent,,5150
Burnaby Now,,5150
Campbell River Mirror,,89718
Grand Forks Gazette,,5150
Boundary Creek Times,,5150
Kamloops This Week,,5150
Maple Ridge News,,5150
Nanaimo News Bulletin,,29873
Osoyoos Times,,5150
Prince George Citizen,,59790
Similkameen Spotlight,,5150
Straight.com,,664424
Peace Arch News,,204913
The Reminder,,5150
myWestman.ca,,16614
Thompson Citizen,,5150
The Western Star,,5150
ICI.Radio-Canada.ca,,5150
Northern News Services,,5150
Nunatsiaq News,,5150
Bancroft This Week,,5150
Simcoe.com,,5150
Brampton Guardian,,664584
Grand River Sachem,,5150
Cambridge Times,,5150
northumberlandnews.com,,69227
Cochrane Times Post,,14399
Delhi News Record,,5150
Elliot Lake Standard,,5150
Lakeshore Advance,,5150
Haliburton County Echo,,5150
Kincardine News,,18220
yorkregion.com,,77534
Minden Times,,5150
InsideHalton.com,,221528
www.insideottawavalley.com/,,84900
L'Express (Blog),,5150
The Trentonian,,5150
LesAffaires.com,,359983
Quebec Chronicle-Telegraph,,12184
Community Impact Newspaper,,27691
中国广播网,,5150
加拿大星島日報 (新聞發布),,996876
Daily Hive,,5150
世界日報,,1938371
MingPaoCanada.com,,875036
ABS-CBN News,,5150
Canadian Jewish News (blog),,221528
Cult MTL,,5150
Financial Post,,5150
Capilano Courier,,5150
Ubyssey Online,,33229
The Martlet,,27691
The Manitoban,,55382
The Aquinian,,5150
Brunswickan,,22152
The Charlatan,,47074
The Eyeopener,,55382
The Concordian,,44305
The McGill Daily (blog),,33229
McGill Tribune,,27691
Chatham Daily News,,5150
Airdrie Echo,,5150
Athabasca Advocate,,5150
Barrhead Leader,,5150
Bashaw Star,,5150
Bonnyville Nouvelle,,5150
Brooks Bulletin,,5150
canadianimmigrant.ca,,5150
CTV News,,5150
Sunny South News (blog),,5150
Cochrane Times,,5150
The Cold Lake Sun,,5150
Technology Magazine (press release) (blog),,5150
Crowsnest Pass Herald (press release),,5150
Devon Dispatch,,5150
Eckville Echo,,5150
Fairview Post,,5150
Patch.com,,5150
Hanna Herald,,5150
South Peace News,,5150
High River Times,,5150
Innisfail Province,,5150
Lac La Biche Post,,5150
The Lacombe Globe,,5150
Leduc Representative,,5150
Mayerthorpe Freelancer,,5150
MorinvilleNews.com,,5150
Nanton News,,5150
CBC.ca,,16073667
Ponoka News,,5150
Red Deer Express,,5150
Rimbey Review,,5150
Airdrie Today,,5150
St. Albert Today,,5150
Sherwood Park News,,5150
Spruce Grove Examiner,,5150
Stettler Independent,,5150
Stony Plain Reporter,,5150
Sylvan Lake News,,5150
Vauxhall Advance (blog),,5150
Sympatico Actualités,,5150
Vermilion Standard,,5150
Vulcan Advocate,,5150
Wetaskiwin Times Advertiser,,5150
Agassiz-Harrison Observer,,5150
Salmon Arm Observer,,5150
Chilliwack Progress,,5150
E-Know.ca (press release),,5150
Creston Valley Advance,,5150
Delta-Optimist,,5150
Cowichan Valley Citizen,,5150
Fernie Free Press,,5150
Caledonia Courier,,5150
Coast Mountain News,,5150
Hope Standard,,5150
Houston Today,,5150
Kelowna Capital News,,5150
Keremeos Review,,5150
Kitimat Sentinel,,5150
Ladysmith Chronicle,,5150
Lake Country Calendar,,5150
Lake Cowichan Gazette,,5150
Merritt Herald,,5150
Mission City Record,,5150
Arrow Lakes News,,5150
The Record (New Westminster),,5150
North Shore News,,5150
Oak Bay News,,5150
100 Mile House Free Press,,5150
The Morning Sun,,5150
Parksville Qualicum Beach News,,5150
North Island Gazette,,5150
Powell River Peak,,5150
Prince Rupert Northern View,,5150
Haida Gwaii Observer,,5150
Quesnel Cariboo Observer,,5150
Rossland Telegraph,,5150
Saanich News,,5150
Coast Reporter,,5150
Peninsula News Review,,5150
Sooke News Mirror,,5150
Summerland Review,,5150
Terrace Standard,,5150
Westerly News,,5150
The Rocky Mountain Goat,,5150
Valley Independent Sentinel,,5150
Vanderhoof Omineca Express,,5150
Goldstream News Gazette,,5150
Squamish Chief,,5150
Pique Newsmagazine,,5150
Williams Lake Tribune,,5150
Melita New Era,,5150
Wimbledon Guardian,,5150
Reston Recorder,,5150
Souris Plain Dealer,,5150
PembinaValleyOnline.com,,5150
The Southern Gazette,,5150
Northern Pen,,5150
The Digby Courier,,5150
Guysborough Journal,,5150
The Spectator,,5150
Nova News Now,,5150
durhamregion.com,,5150
Beaumont Enterprise,,5150
Globalnews.ca,,5150
www.muskokaregion.com/,,5150
Brighton & Hove Independent,,5150
NorthBayNipissing.com,,5150
Orangeville Citizen,,5150
Caledon Enterprise,,5150
Cornwall Seaway News,,5150
ObserverXtra,,5150
Daily Voice,,5150
Wellington Advertiser,,5150
Gananoque Reporter,,5150
HamiltonNews,,5150
The Flamborough Review,,5150
The Post - Ontario,,5150
Kingstonist,,5150
Lucknow Sentinel,,5150
Mitchell Advocate,,5150
The New Hamburg Independent,,5150
Orangeville Banner,,5150
Oshawa Express,,5150
parrysound.com,,5150
County Weekly News,,5150
Sarnia and Lambton County This Week,,5150
Shoreline Beacon,,5150
Seaforth Huron Expositor,,5150
Strathroy Age Dispatch,,5150
The Temiskaming Speaker,,5150
Tbnewswatch.com,,5150
Tillsonburg News,,5150
TimminsToday,,5150
Wallaceburg Courier Press,,5150
Waterloo Chronicle,,5150
West Lorne Chronicle,,5150
Wiarton Echo,,5150
Québec Hebdo,,5150
Le Soleil de Châteauguay,,5150
La Sentinelle et le Jamésien,,5150
Le Progrès de Coaticook,,5150
Journal Nouvelles Hebdo,,5150
L'écho de Jijel,,5150
Info07,,5150
Granby Express,,5150
Le Journal de Joliette,,5150
La Voix du Sud,,5150
Le Peuple Lotbinière,,5150
Courrier Laval,,5150
Le Reflet du Lac,,5150
L'Express Montcalm,,5150
Métro Montréal,,5150
MTL Blog (blog),,5150
Le Courrier Sud,,5150
Journal Accès,,5150
Hebdo Rive Nord,,5150
Le Canada Français,,5150
Journal Le Nord,,5150
Beauce-Média,,5150
Courrier Frontenac,,5150
La Nouvelle Union,,5150
Assiniboia Times,,5150
The Battlefords News-Optimist,,5150
Canora Courier,,5150
Regina Leader-Post,,5150
Estevan Mercury,,5150
MLive.com,,5150
Humboldt Journal,,5150
Kamsack Times,,5150
theclarion.ca (blog),,5150
meadowlakeNOW,,5150
Melfort Journal,,5150
northeastNOW,,5150
Nipawin Journal,,5150
The San Diego Union-Tribune,,5150
Preeceville Progress,,5150
Grand Forks Herald,,5150
Prairie Post,,5150
Wadena Pioneer Journal,,5150
Weyburn Review,,5150
ShareCast,,5150
Yorkton This Week,,5150
Asharq Al-awsat English,,5150
দেশে বিদেশে (satire) (press release) (blog),,5150
Danville Commercial News,,5150
Pagini Romanesti (Blog),,5150
El Popular,,5150
electriccitymagazine.ca,,5150
Brock Press,,5150
The Interrobang,,5150
Impact Campus,,5150
Diario Extra Costa Rica,,859288
La Nación Costa Rica,,859288
Prensa Libre,,859288
The Tico Times,,859288
Juventud Rebelde,,151140
Escambray,,151140
CubaDebate,,151140
Dominica News Online,,25996
Diario Libre (Comunicado de prensa) (blog),,840800
Listín Diario (Comunicado de prensa),,630600
El Caribe (Comunicado de prensa),,630600
El Jaya,,630600
Metrord,,630600
El Diario CoLatino,,925000
Publinews Guatemala,,589345
Le Nouvelliste (Communiqué de presse),,421052
Balistrad,,315789
La Prensa de Honduras,,757894
La Tribuna de Ciudad Real,,568421
Government of Jamaica~ Jamaica Information Service,,395275
Jamaica Star Online,,395275
El Diario de Yucatán,,3025281
El Economista,,551033
Heraldo de México (Comunicado de prensa) (blog),,2593098
Informador.mx,,551033
Hoy,,551033
El Mañana de Nuevo Laredo,,551033
Noticieros Televisa,,551033
El Occidental,,551033
Primera Hora,,551033
Rio Doce,,551033
El Siglo de Torreón,,551033
El Universal,,12965493
UnomásUno,,2398270
La Voz de Michoacán,,551033
El Diario de Chihuahua,,551033
Estas son las 5 causas del bajo rendimiento escolar,,551033
Diario Eyipantla,,551033
Diario de Xalapa (Comunicado de prensa),,551033
El Dictamen (Comunicado de prensa),,551033
El Heraldo de Chihuahua (Comunicado de prensa),,551033
Milenio.com,,551033
Sipse.com,,551033
La Opinión (Comunicado de prensa),,551033
ABC.es,,551033
tabasco hoy (Sátira) (Comunicado de prensa),,551033
La Tribuna (México),,551033
La Prensa (Nicaragua),,1246153
El Nuevo Diario (República Dominicana),,155769
La Estrella de Panamá,,527253
La Prensa Panamá,,395439
elsiglo.com.pa,,395439
Panamá América,,395439
Variety,,19246
Trinidad & Tobago Express Newspapers,,199430
Trinidad Guardian (press release),,265907
Trinidad News,,199430
USA TODAY,,107874467
New York Post,,15564922
Los Angeles Times,,25245578
Minneapolis Star Tribune,,8547745
Chicago Tribune,,7411811
GazetteNET,,770057
Hartford Courant,,3184410
Poughkeepsie Journal,,3063716
The Augusta Chronicle,,627513
Pittsburgh Post-Gazette,,5133717
Berkshire Eagle,,706642
Rutland Herald,,355766
The Keene Sentinel,,415061
Charleston Post Courier,,2027871
Plattsburgh Press Republican,,103861
The Fayetteville Observer,,1834423
Cherokee Phoenix,,103861
Columbus Ledger-Enquirer,,1039254
syracuse.com,,2964724
The Philadelphia Inquirer,,6048038
Barnstable Patriot,,138482
Utica Observer Dispatch,,831990
Bernews,,4851
Royal Gazette,,54630
Virgin Islands Daily News,,67540
BVI Beacon,,3373
NotiCel,,62770
El Nuevo Dia.com,,518904
El Vocero de Puerto Rico,,334777
ELIMPARCIAL.COM,,62770
The Australian,,774387
The Australian Financial Review,,350895
The Saturday Paper,,825200
Green Left Weekly,,3306
日豪プレス,,3306
The Sydney Morning Herald,,981319
Daily Telegraph,,1975358
The Age,,743423
Herald Sun,,1486847
iseekgolf.com,,3306
Ararat Advertiser,,3306
Bendigo Advertiser,,1040792
CastlemaineMail (press release) (blog),,24161
Wangaratta Chronicle,,3306
Ballarat Courier,,136046
Hepburn Advocate,,3306
Euroa Gazette,,3306
Geelong Advertiser,,520396
The Spokesman-Review,,107246
Warrnambool Standard,,3306
Riverine Herald,,3306
Shepparton News,,3306
Sunraysia Daily,,3306
Brisbane Times,,3306
Courier Mail,,1284643
Queensland Country Life,,3306
Balonne Beacon (press release),,3306
The Cairns Post,,282500
Central Telegraph,,3306
Chinchilla News,,3306
Fraser Coast Chronicle,,70996
Gold Coast Bulletin,,3306
Goondiwindi Argus,,3306
Townsville Bulletin,,4408
Morning Bulletin,,150171
Queensland Times,,80319
South Burnett Times,,3306
Warwick Daily News,,23923
Whitsunday Times,,3306
The West Australian,,1167174
