ggl_name,bng_name,reach
दैनिक भास्कर,,530551
এবেলা,,32055
Equity Bulls,,32055
Lanka C News,,32055
ಕನ್ನಡ ಪ್ರಭ,,32055
ಪ್ರಜಾವಾಣಿ,,5925760
TheSixthAxis,,32055
Udayavani (press release),,3183308
Vartha Bharati (satire) (press release) (blog),,32055
VijayKarnataka,,32055
Daijiworld.com,,32055
Goa com,,32055
Deshabhimani,,32055
Janayugom,,32055
ജന്മഭൂമി,,32055
കേരള കൌമുദി,,32055
മംഗളം,,32055
മാതൃഭൂമി,,15776582
Thejas News,,32055
Tribun Jakarta,,32055
Maharashtra Times,,10611027
Navshakti,,890371
Saamana (satire) (press release) (blog),,32055
sakalsports.com (satire) (press release) (blog),,14196504
तरुण भारत,,32055
E-Pao.net,,36624
Republic World,,32055
Pragativadi,,32055
தினமலர்,,10004204
தினமணி,,32055
தினகரன்,,12898584
தினத் தந்தி,,5286286
Tamil Murasu (செய்தித்தாள் அறிவிப்பு),,169776
Andhrabhoomi,,3881450
Andhraprabha Daily,,1230879
ఈనాడు.నెట్ (పత్రికా ప్రకటన),,509329
Mana Telangana (బ్లాగు),,32055
JANAM SAKSHI,,32055
Vaartha,,32055
Daily News & Analysis,,303496
Youth Ki Awaaz,,32055
Frontline,,32055
Milli Gazette,,32055
The Sentinel Assam,,1591654
The Sunday Guardian,,32055
News18,,424441
Economic Times (blog),,1570432
Divya Himachal (प्रेस विज्ञप्ति) (ब्लॉग),,32055
Lexington Herald Leader,,42741
प्रभात खबर,,32055
पंजाब केसरी (प्रेस विज्ञप्ति),,16669924
Sanjeevni Today,,32055
Tehelka (satire) (press release),,107256
Loksatta,,4244411
மாலை மலர்,,32055
Minmurasu.com,,32055
ప్రజాశక్తి,,32055
The Siasat Daily,,32055
Rakyat Merdeka RMCO.ID - The Political News Leader (Siaran Pers),,258227
Suara.com,,5508858
Suara Pembaruan,,23412646
merdeka.com,,258227
Poskotanews,,41316435
Pikiran Rakyat,,258227
Suara Merdeka CyberNews,,344303
Solopos,,258227
Jakarta Post,,2826663
Jakarta Globe,,258227
Koran Jakarta,,258227
Kontan,,258227
Serambi Indonesia,,258227
Tribun Medan,,258227
Tribun Batam,,258227
Sriwijaya Post,,258227
Bangka Pos,,258227
Pos Belitung,,258227
Lampost,,258227
Indopos,,258227
Warta Kota,,258227
galamedianews.com (Siaran Pers),,258227
Tribun Jateng,,258227
Harian Jogja,,258227
Tribun Jogja,,258227
Tribun Bali,,258227
SUARA NTB,,258227
Pos Kupang,,258227
Tribun Kaltim,,258227
Banjarmasin Post,,258227
FAJAR,,258227
Tribun Timur,,258227
JUBI (Siaran Pers),,258227
afarineshdaily.ir,,673418
Vastgoedmarkt,,673418
Iran Front Page,,673418
پایگاه خبری تحلیلی انتخاب | Entekhab.ir,,673418
Financial Tribune,,1795782
hamshahrionline.ir,,11971881
Tehran Times,,673418
Payvand,,673418
RadioFarda,,673418
ALVEFAGH (سخرية) (بيان صحفي) (مدوّنة),,673418
الزمان,,899887
الشراع-لبنان,,899887
多维新闻网,,899887
כלכליסט,,4009
Waterloo Cedar Falls Courier,,4009
Haaretz,,328416
http://hamodia.com,,4009
Israel Hayom,,1642081
The Jerusalem Post,,1010511
מקור ראשון,,4009
Yated.com,,4009
The Times of Israel,,4009
Trierischer Volksfreund,,4009
TheMarker,,4009
The Japan News,,39223889
Asahi Shimbun,,2516810
The Mainichi,,15443926
The Japan Times,,10817205
西日本新聞,,3424898
日刊スポーツ,,7691342
産経ニュース,,5323270
Portal Mie,,2935
Wall Street Journal,,67055309
The Tokyo Reporter (blog),,2935
日刊ゲンダイ,,2935
alanbatnews.net,,543750
Jordan Times,,543750
Ammon News,,543750
38 North,,251
Daily NK,,251
Korea Exposé,,251
한국일보,,3379022
Yonhap News,,511132
The Korea Herald,,511132
Korea Times,,511132
뉴스핌,,511132
Aju Business Daily,,511132
hellokpop (press release) (blog),,511132
스포츠조선 모바일,,511132
Investor's Business Daily,,511132
السياسة,,478068
القبس الإلكتروني,,499047
الجريدة,,71066
Kuwait Times,,176877
Arab Times Kuwait English Daily,,303218
الوطـــن الإلكترونية,,631705
Employee Benefits,,71066
الصوت الآخر (بيان صحفي),,71066
Al-Arabiya,,71066
Dairy News,,198589
AEC News Today,,3818732
An-Nahar,,669899
al-binaa.com,,67023
السفير 24 (بيان صحفي) (مدوّنة),,744332
Le Commerce du Levant,,67023
kataeb.org,,67023
Sada El-Bald صدى البلد,,67023
New Straits Times Online,,307901
Daily Express,,774982
The Edge Markets MY,,224706
Malay Mail,,597306
Free Malaysia Today,,143428
Local Sarawak News,,143428
The Star Online,,774982
The Sun Daily,,2638102
Harian Metro,,1784262
Sinarharian (press release),,1114971
China Press (新闻发布),,477844
光华日报,,995510
马来西亚东方日报 (讽刺) (新闻发布) (博客),,874104
星洲网 Sin Chew Daily (新闻发布),,4977551
Business Insider,,143428
Malaysiakini,,143428
KOSMO | Eine starke Verbindung!,,1871230
The Edition (press release),,24666
Maldives Independent (press release),,24666
Raajjemv (press release) (blog),,24666
Aljazeera.com,,3836750
Myanmar Times,,224252
Union Daily Times,,224252
Commerce Journal,,224252
Frontier Myanmar,,224252
The Irrawaddy News Magazine,,224252
Himalayan Times,,506171
Online Khabar (English) (satire) (blog),,4049374
Nepali times,,506171
Annapurna Express (press release) (blog),,506171
Muscat Daily,,15323
Times of Oman,,2988140
The Nation,,2096127
Khabrain Abhi Tak,,2096127
Business Recorder,,2096127
Daily Times,,2096127
DAWN.com,,2794836
The News International,,3589698
Pakistan Today,,2096127
Daily Pakistan Global,,12820350
The Express Tribune,,2096127
Business Mirror,,2845047
BusinessWorld Online,,4029909
Manila Bulletin,,774982
manilastandard.net,,774982
INQUIRER.net,,3788803
The Manila Times,,774982
Philippine Star,,9162016
Abante Online,,774982
Pilipino Star Ngayon,,774982
Mindanao Examiner,,774982
Mindanao Times (press release),,774982
Minda News,,774982
Merced Sun-Star,,774982
RMN Networks,,774982
CNA,,774982
Panay News (press release),,774982
Η Καθημερινή,,774982
Gulf News,,1674577
Negros Chronicle,,774982
Sun.Star,,774982
Gulf Times,,14258
The Peninsula Qatar,,14258
Коммерсантъ,,1721207
Газета Труд,,3184234
Ведомости,,2224660
The Moscow Times,,788886
Новая газета,,7332344
Il Post,,1075754
Health Gazette,,129090
The Jamestown Foundation,,172120
रूस-भारत संवाद (blog),,129090
Tampa Bay Times,,502018
Вечерний Мурманск,,129090
Вечерний Ставрополь,,365369
Le Courrier de Russie,,129090
https://en.crimerussia.com/,,129090
Тверская Жизнь,,129090
Тюменская Область Сегодня,,129090
Sostav.ru,,129090
Saudi Gazette,,1870110
Okaz Newspaper - صحيفة عكاظ (بيان صحفي),,7792128
Arab News,,1604586
صحيفة مكة,,701291
News18 Malayalam,,701291
The Business Times,,19238
The New Paper,,1539089
Johannesburg Sunday World,,19238
Daily Mirror,,324317
දිනමිණ,,276406
දිවයින,,574926
ලංකාදීප,,552813
රිවිර,,976637
සිළුමිණ,,976637
Sunday Observer,,644949
Lanka TRUTH,,20730
Virakesari (கிண்டல்) (செய்தித்தாள் அறிவிப்பு),,442250
ft.lk,,20730
Enab Baladi (press release),,434821
Reuters,,232940
มติชน,,1164919
Bangkok Post,,1067842
ข่าวสด,,9222276
คมชัดลึก,,8736893
CPJ Press Freedom Online,,655267
ผู้จัดการออนไลน์,,655267
Fotomaç,,4607145
Yeni Mesaj,,4607145
Yeni Asır,,4607145
Yeni Asya,,4607145
Khaleej Times,,758448
7Days,,951837
The National,,928712
الإمارات اليوم,,116089
Зеркало.az,,3432306
Tuổi Trẻ Online,,17624917
Hà Nội Mới,,3818732
ONLINE NEWSPAPER OF THE GOVERNMENT OF THE SOCIALIST REPUBLIC OF VIET NAM (lời tuyên bố phát cho các báo),,3818732
Vietnamnet.vn,,3818732
Washington Post,,592782
الوحدوي,,592782
Taipei Times,,268379
Anchorage Daily News,,268379
The Epoch Times,,743423
The News Lens International,,268379
AM730,,423216
香港01,,36624
EJ Insight,,36624
Hong Kong Free Press,,36624
FactWire 傳真社,,36624
Daily Press,,36624
Inkstone,,36624
Asia Times,,36624
晴報 Sky Post,,36624
Tribuna do Norte - Natal,,778885
Macau Daily Times,,7759
Macau News,,10346
Macau Business,,7759
Downey Magazine (press release) (blog),,7759
Inside Asian Gaming (press release) (blog),,7759
搜狐 (博客),,7759
Telegraf.rs,,41595
ALBANIA NEWS,,41595
Diari d’Andorra,,12198
Diari Més Digital,,9149
Kleine Zeitung,,811866
Krone.at,,1918532
kurier.at,,900774
Liechtensteiner Volksblatt,,281288
nachrichten.at,,297138
DiePresse.com,,187173
Salzburger Nachrichten,,184834
derStandard.at,,201211
Tiroler Tageszeitung Online,,226948
Vorarlberger Nachrichten,,147399
Wiener Zeitung,,14645
DIE WELT,,843865
Вечерний Гродно - новости и события Гродно,,80373
Intex-press,,737450
The Brussels Times,,55065
Het Belang van Limburg,,621008
